Product Name,Price,Number of Reviews,Product URL,RAM,Storage Capacity,SIM Card Slot,Model,Screen Size
New ListingApple iPhone 15 Pro Max - All Colors (Unlocked),"$1,050.00",3 product ratings,https://www.ebay.com/itm/335571283076?_skw=phone&epid=8062766783&hash=item4e219b6c84:g:ULUAAOSwme5m4jU8&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm7eX%2BgAsbHVNSQp8aK4%2BbNEt3B5rD01jEHGBGps6XF3Vqec9tDFJHNwFS60%2F7GOoYnebdPcmpee7GZ0LFbTXYXfaXPO%2FbeUySjRq2W7k69I22t7Q4TCmn1TuCgSYA3PlULYDOXw9qpvABFQQZsXWSyjj5XBeJQ8THR7iAtKg7mIC9xAaf7IZgHGskktTtYarS7zw9YK7ArqVpmxHQli78c5GoGaYXQzLfj7zMKj12UVYn4KbLsmIUvUyr%2FBYXr%2Fle5O5V5i9tQABLES6Zh8ljy%7Ctkp%3ABFBM4tXr17xk,12 GB,-,Single SIM,Apple iPhone 15 Pro Max,6.7 in
Apple iPhone 12 128GB Black (Without Simlock) (Dual SIM),$228.99,4 product ratings,https://www.ebay.com/itm/395658946310?_skw=phone&epid=25041757159&hash=item5c1f1c6706:g:63QAAOSw39Fm05Qv&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk6da%2FahHWei46sy1eP%2B%2F9ljcfI%2B07oa5FecZa9O4Cw2%2BkD%2FZX3Uq9Jf1FGDlgOSzFfouRzmXLI5DeyteO3ieALhyt9sUVVjJJePv97mbCumw4eDjP8EDPMllWpwqbpxzDg62L7fy8Pvtj1ppJMPOWn7SwkTwRKEwy%2FiAfyBlOk7VZVJnEbyjS6KeJvXgvQFzxZzf3w7UDHzdt3kncCjLYdoXrBjEhPnTojM5e6SDfToZLSpbUSlOFR3dO1lMb2Lb8LILUO0ZuQ0WVEKPaqp5P6%7Ctkp%3ABFBM4tXr17xk,4 GB,-,-,Apple iPhone 12,-
New ListingApple iPhone 13 mini - 128 GB - Green (T-Mobile),$382.63,1 product rating,https://www.ebay.com/itm/296686223455?_skw=phone&epid=6052782194&hash=item4513e0805f:g:G8gAAOSwjKJm4cVq&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlpgfUdvw3nR%2B32l4ety0Y0mvDM2najUSUhwu0qMf%2FXjdmeFqkFlOkwY1XuhchMAPKFNIp5fxuZ3MQODXkVAiZZPzFZZ16QeWXudkP7EA6AE%2B4eyoFGsEB1ZSiRna8%2Bkm4k9C%2BwQFxEzk07XAMYyuIrRsR7ObP3Orkwi9RTbP9iN9c0lVnhKilJIMoZ1ZmF65knAWViheIVHuhLLjjMSztcRbk9%2FAFDo3Ed2EeXgBpeHyM1UTroQtIdCNgCGXMFgFctAPPcUdpE%2FRh%2Bm%2FAE9T8A%7Ctkp%3ABk9SR-LV69e8ZA,4 GB,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 13 mini,5.4 in
Apple iPhone 12 - 128GB - Green,$287.00,-,https://www.ebay.com/itm/276634662747?_skw=phone&epid=2312761131&hash=item4068b5f75b:g:CjQAAOSwrZVm0wJA&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnn9EG5%2FQMVFB3CO1n%2B54sS%2F4EWwqlY8tHPznNOLwlH4zHQEwoTWanTzkxYVjp9BFCIp62d4f5WdhARoZRJ3HKZT%2FcSZMem53J%2B0C0sY4B2pLwqAOHBEgRMHdhKMMANftPFJ3%2BkW4MphGiWZQwfYf6NQZQWJU6YRRUhaW9N3IJr6fo3OwhTBR%2Fh9zFyr2N%2BoTeMQzAiHhfx2HdreGkNCNd%2FLJlPF8%2FechQ%2F6gsaO1tSLQ%3D%3D%7Ctkp%3ABk9SR-TV69e8ZA,-,-,-,Apple iPhone 12,-
"Apple iPhone 12, White",$245.00,-,https://www.ebay.com/itm/356028817564?_skw=phone&hash=item52e4f8a09c:g:7hkAAOSwG3xmk6Lm&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKk4fdeBos2952lP2jdvaMtU9s6V1tJsoRqun32cX72Uv9lRfke8MimLlO8Fn2FpkqrTqylsWL%2FAYDMrnxiBbxblq94JXm99rqnJpLshC85OT4GlRI2l9D8K0jg%2BkEg1MN7IhoZp8b%2BB0VvSJeKs6xJlJNxY0FJ78Tby%2FPx7plObQEY%2BKqZLxzP6UcEAyLnuk0iDvq2P8eXV8edRiFgX7OP%2Fm5lUHhfMtS3lAIYsKoRmNg%3D%3D%7Ctkp%3ABk9SR-TV69e8ZA,-,Unknown,-,Apple iPhone 12,-
New ListingApple iPhone 12 mini - 128GB - Unlocked - BROKEN SCREEN,$279.95,-,https://www.ebay.com/itm/296686795601?_skw=phone&hash=item4513e93b51:g:a-AAAOSwJzJm4iOQ&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKklVOodg2JWXH9ofw67eCWHDJiZ8oHZAOvL4mpMAGw5Ae5FX7JKAeyRk%2FFjtZ4XoNmZoPQEGTHgiVK8HZjBOkH9oDhAMjlDmZVPqSHJTuP1O%2B8kc5nODiytXHDMtLsm%2BknqjtO1DJI%2FubBcBBP7z9oWPywhT5Tbkiln3atTmKQqYoFG7giKe0mrjxw%2BObcIXwCkVa%2FmCMJrgFbh9QTlN3Y4fSmm4dFmkRwnOzW4wIWy5g%3D%3D%7Ctkp%3ABk9SR-TV69e8ZA,4 GB,128 MB,Single SIM,Apple iPhone 12 mini,5.4 in
Brand New Apple iPhone 15 A2846 128GB Blue Spectrum Unlocked Phone Only,$390.42,6 product ratings,https://www.ebay.com/itm/395669967325?_skw=phone&epid=8062766781&hash=item5c1fc491dd:g:StkAAOSwlS9m4I0c&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmkfpXlcwdY7HXHwyDCRtt8ygyC2SdLKrbArw%2BW4drgtcXPg98MeT78rMM6llSLbdVfPIM133Ekhj6T%2B%2BdL8oqSkx41hzp0bTQo1pEPBwzd2mCCTHUEakicSR9Q74jd16qTMKp7jhz%2BRZfTWpom1JG9ipNUPIwIyqIjG46iizFXDSO%2BZ67c2JZaLehDv9aLbAVAYcHsR2PvpTgHj%2B2ewVJmMP1LGLjp6Ui26oLON%2FDh66ymN%2FSaG7R8wOuRX8mhtwHJY2t%2BoWTazpVtDJDdbjfN%7Ctkp%3ABk9SR-TV69e8ZA,6 GB,128 GB,Single SIM,"Apple iPhone 15,A2846",6.1 in
New ListingApple iPhone 11 64GB 128GB 256GB All Colors (Unlocked) - Good,$269.95,40 product ratings,https://www.ebay.com/itm/156403508051?_skw=phone&epid=9034209104&hash=item246a602353:g:P0EAAOSwrB5m4gVT&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnkZTVXLLtKT1ALwr0%2BV4aEFHcj4uc7z4QiwWOs3xAlu9stoS%2BxvmfxBuvLnzPQqaNkSOmjD0Bjd%2BFB2WMXdNaQlEaE0I7I7A3oOBp1v2oI%2FnutCDzi9uuKkFcwPrhW42fCC5MXYtx1d80diMQEoU1%2BOy%2FzxUOf7eUcNkHqyBgqKIQFvdlORwbzp6N0bQdhk%2Bip8YFVq3cd40d25obRP0bMcV5FUc%2BMFm2fJ6sofGYx%2FQ66HJixZI%2B37rbHyykotsoOClKdkn5UFuLzrO3wJvRs%7Ctkp%3ABFBM5NXr17xk,-,Select from drop-down menu,-,Apple iPhone 11,6.1 in
Apple iPhone 12 Pro - 128 GB - Blue (Unlocked),$349.99,32 product ratings,https://www.ebay.com/itm/395665884928?_skw=phone&epid=17041715648&hash=item5c1f864700:g:6WsAAOSwU6Bm3y74&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmLH9JGhWQBU0x066KzTGFaKoWQVj1TuIQk1qiZ54HQpoDE%2FABgvacKXvaaL0Otvna8dczf33m4R%2B3KTy%2B%2FU7iO2LFchjCHFGkIkRzBQMdsLfCJ0w0DKNvD90tJzkfsXVL640oAlzAsFrQo8XGfa0q%2BT%2BGt51v5jk2sJNm%2Bvi2Pch%2FJHmLKxybSun1XvsqHXi0HovG5WWqcBeM92pKntMbZss4Zm1A1P16d2ufCz%2FdUmHdJ0Iv9N7ezE57IGAVGFgtQDORHoYRZ7dp1tcu3NcHF%7Ctkp%3ABk9SR-bV69e8ZA,6 GB,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 12 Pro,6.1 in
iPhone 14 Pro Max 256 Display Damaged,$449.99,-,https://www.ebay.com/itm/135235401821?_skw=phone&hash=item1f7ca8785d:g:M10AAOSw8vhmwxqK&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnGJwVsHsvP1BQQHZAVuGIvaH2t4sNB0qZVJPAioZE%2B9vweYzzSSKMNwZxGQZARQrmZaSsCsEF2MF%2BzaS8%2BZAN1LutHv%2FbakmfI%2BJ2pgrCMjQaYafLeeoFr4oawuFE%2BMN%2FxrEYodRG4i%2B3hY3hDa00wx7zbjHaahOJ6b799KLE1YoJmNm9b%2FTyEwHKneag02cESdgV6w8aX4lartIxxsn0Rnf%2Bo3RYdmQmvSfogxRkgLA%3D%3D%7Ctkp%3ABk9SR-bV69e8ZA,6 GB,-,-,Apple iPhone 14 Pro Max,-
New ListingIphone 15 pro max Unlocked  (android version),$325.00,1 product rating,https://www.ebay.com/itm/176570261184?_skw=phone&epid=9062763667&hash=item291c685ec0:g:ZuQAAOSwZmFmvu-h&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk0DJ6yKbRqjcPdgDIa6N8DUegQkyz0yhTTHa3hw4PzP%2BtOyvLKwtL3cWxfgD%2FNOQoOak4boVs%2F6Tie1vJa3zAJbrCqoifIzccrIPEwgsZ0yUS4eT%2FHbcBB0vaDdnlPbnpIXQ1NAdk%2FLhmgUG%2B1S8nibwa%2FIjtr4KcDPs7Zdg%2BTPuole9HsGZc%2B%2Bhz6%2BOU1mDcsmoq5qcAaAZO9%2F5Y0ReVW%2B0mkSImHNZEXh1yydgZWFw5p5rWyFQH8F3zULp1fHPddin7Zz5bODrre5t7CmPvJ%7Ctkp%3ABk9SR-bV69e8ZA,-,256 GB,-,Apple iPhone 15 Pro Max,-
