Product Name,Price,URL,Brand,Capacity,RAM Capacity,Network Type,SIM Card,Display Type,Display Resolution In Pixels,Display Size,Processor Chipset,Processor CPU,Operating System Version,Battery Capacity,Weight,WiFi,Bluetooth,Video Recording,Front Camera,Main Camera,Number Of Main Camera,Model Name,Color
"Samsung Galaxy A15 Dual SIM, 128GB, 6GB RAM, 4G LTE - Light Blue","7,699",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-6-gb-ram-4g-lte-light-blue-17,Samsung,128GB,6GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Light Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 4GB RAM, 4G LTE - Black","6,899",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-4-gb-ram-4g-lte-black-13,Samsung,128GB,4GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Black
"Samsung Galaxy A15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Black","8,999",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-256-gb-8-gb-ram-4g-lte-black-394,Samsung,256GB,8GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Black
"Samsung Galaxy A15 Dual SIM, 128GB, 6GB RAM, 4G LTE - Black","7,699",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-6-gb-ram-4g-lte-black-16,Samsung,128GB,6GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Black
"Samsung Galaxy A15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Light Blue","8,999",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-256-gb-8-gb-ram-4g-lte-light-blue-20,Samsung,256GB,8GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Light Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 4GB RAM, 4G LTE - Yellow","6,899",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-4-gb-ram-4g-lte-yellow-15,Samsung,128GB,4GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Yellow
"Samsung Galaxy A15 Dual SIM, 128GB, 6GB RAM, 4G LTE - Yellow","7,699",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-6-gb-ram-4g-lte-yellow-18,Samsung,128GB,6GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Yellow
"Samsung Galaxy A15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Yellow","8,777",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-256-gb-8-gb-ram-4g-lte-yellow-21,Samsung,256GB,8GB,4G,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Yellow
"Samsung Galaxy A14 Dual SIM, 64GB, 4GB RAM, 4G LTE, Black","4,699",https://www.rayashop.com/en/samsung-galaxy-a14-dual-sim-64gb-4gb-ram-4g-lte-black-44,Samsung,,,4G,,PLS LCD,,6.6 Inch,,Octa-core,"Android 13, One UI Core 5","Li-Po 5000 mAh, non-removable",201g,,Yes,,13 MP,,,Galaxy A14,Black
"Samsung Galaxy A15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Yellow","8,499",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-256-gb-8-gb-ram-4g-lte-yellow-s142,Samsung,256GB,8GB,4G LTE,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple,Galaxy A15,Yellow
